               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.6564,              2.8951,              1.4955,              0.4999,             0.38874,             0.36834,             0.18062,                   0,                   0,                   0,            0.070115,           0.0033206,           0.0033206
                   1,              1.5534,                1.62,              1.4542,              0.8502,             0.66667,             0.73292,               0.363,                   0,                   0,                   0,            0.039895,           0.0064344,           0.0064344
                   2,              1.5859,              1.5152,              1.4549,             0.87646,             0.55556,             0.72249,              0.3276,                   0,                   0,                   0,           0.0094553,           0.0093281,           0.0093281
                   3,              1.5465,              1.3609,              1.4379,             0.62099,             0.72222,             0.69336,             0.33729,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   4,              1.5407,              1.2935,              1.3915,             0.86673,             0.55556,             0.78166,             0.38773,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   5,              1.5255,              1.2781,              1.4194,             0.72494,             0.88889,              0.8358,             0.42753,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                   6,              1.5354,              1.2807,              1.4204,             0.87229,             0.77778,             0.88894,             0.50175,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                   7,              1.4733,              1.1772,              1.3806,             0.91788,             0.88889,             0.95168,             0.56442,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   8,              1.5016,              1.1687,              1.3732,             0.86125,             0.88889,             0.95331,             0.47101,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                   9,              1.4854,              1.1237,               1.372,             0.97899,             0.83333,             0.97206,             0.59882,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  10,              1.4344,              1.0679,              1.3545,             0.95492,             0.83333,             0.96304,             0.57994,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  11,              1.4184,              1.0771,              1.3664,                   1,             0.83254,             0.95736,             0.54121,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  12,               1.439,              1.0786,              1.3604,             0.77355,             0.94904,              0.9504,             0.58997,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  13,              1.4396,              1.0415,              1.3384,             0.81108,             0.95446,             0.96073,             0.54261,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  14,               1.439,              1.0331,              1.3304,             0.89234,             0.88889,             0.96527,             0.58716,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  15,              1.4127,              1.0246,              1.3517,              0.8965,              0.9631,             0.97459,             0.57895,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  16,              1.4114,              1.0286,              1.3325,             0.84833,             0.94444,              0.9688,             0.58023,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  17,              1.3715,             0.95703,               1.327,              0.8206,             0.88889,             0.94544,             0.54445,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  18,              1.3396,             0.94683,              1.3013,              0.7676,             0.91812,             0.93745,             0.52649,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  19,               1.372,              1.0154,              1.3256,             0.93065,             0.83333,             0.92942,             0.54801,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  20,              1.3643,              0.9805,              1.3216,             0.93707,             0.82761,             0.94524,             0.55374,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  21,              1.3644,             0.93915,              1.3093,             0.93235,             0.77778,             0.94989,             0.56512,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  22,              1.3343,             0.99538,              1.2969,             0.90454,             0.77778,             0.92892,             0.56577,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  23,              1.3862,             0.96361,              1.3184,             0.71713,                   1,             0.92212,             0.52554,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  24,              1.3194,             0.88969,              1.3111,             0.85099,             0.95215,             0.97628,             0.59577,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  25,              1.3216,             0.88815,              1.3083,             0.87396,             0.88889,             0.96582,             0.56152,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  26,              1.3544,             0.90715,              1.3192,             0.89057,             0.90487,             0.98154,             0.57187,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  27,              1.3274,             0.91173,              1.3029,              0.8952,             0.94936,             0.98667,             0.58567,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  28,              1.3286,              0.8927,              1.3071,              0.8425,             0.89169,             0.96866,             0.58527,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  29,              1.3103,             0.88463,              1.2845,             0.88408,             0.88889,             0.96553,             0.59561,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
