sequence,images,gt,predictions,tp,fp,fn,precision,recall,f1
MVI_40892,5,73,47,34,13,39,0.723404,0.465753,0.566667
MVI_39501,5,37,43,18,25,19,0.418605,0.486486,0.450000
MVI_40864,5,121,80,62,18,59,0.775000,0.512397,0.616915
MVI_40761,5,40,23,21,2,19,0.913043,0.525000,0.666667
MVI_40863,5,48,54,27,27,21,0.500000,0.562500,0.529412
MVI_39311,5,56,59,32,27,24,0.542373,0.571429,0.556522
MVI_40891,5,76,56,47,9,29,0.839286,0.618421,0.712121
MVI_40855,5,127,92,80,12,47,0.869565,0.629921,0.730594
MVI_40763,5,23,19,15,4,8,0.789474,0.652174,0.714286
MVI_40792,5,29,22,19,3,10,0.863636,0.655172,0.745098
MVI_40762,5,36,28,24,4,12,0.857143,0.666667,0.750000
MVI_40903,5,80,72,54,18,26,0.750000,0.675000,0.710526
MVI_40851,5,62,70,45,25,17,0.642857,0.725806,0.681818
MVI_40854,5,63,66,47,19,16,0.712121,0.746032,0.728682
MVI_40793,5,37,32,28,4,9,0.875000,0.756757,0.811594
MVI_40701,5,54,68,42,26,12,0.617647,0.777778,0.688525
MVI_40904,5,36,76,30,46,6,0.394737,0.833333,0.535714
MVI_39371,5,12,21,10,11,2,0.476190,0.833333,0.606061
MVI_40852,5,77,77,65,12,12,0.844156,0.844156,0.844156
MVI_40714,5,109,99,93,6,16,0.939394,0.853211,0.894231
MVI_39511,5,16,26,14,12,2,0.538462,0.875000,0.666667
MVI_40901,5,43,57,38,19,5,0.666667,0.883721,0.760000
MVI_40742,5,43,43,38,5,5,0.883721,0.883721,0.883721
MVI_40902,5,35,67,31,36,4,0.462687,0.885714,0.607843
MVI_40853,5,68,83,62,21,6,0.746988,0.911765,0.821192
MVI_40774,5,26,37,24,13,2,0.648649,0.923077,0.761905
MVI_40743,5,31,42,29,13,2,0.690476,0.935484,0.794521
MVI_40775,5,47,65,44,21,3,0.676923,0.936170,0.785714
MVI_40772,5,49,56,46,10,3,0.821429,0.938776,0.876190
MVI_39271,5,18,27,17,10,1,0.629630,0.944444,0.755556
MVI_39361,5,20,58,19,39,1,0.327586,0.950000,0.487179
MVI_40712,5,43,50,41,9,2,0.820000,0.953488,0.881720
MVI_39031,5,26,36,25,11,1,0.694444,0.961538,0.806452
MVI_40773,5,35,44,34,10,1,0.772727,0.971429,0.860759
MVI_40905,5,43,67,42,25,1,0.626866,0.976744,0.763636
MVI_39211,5,9,27,9,18,0,0.333333,1.000000,0.500000
MVI_39051,5,7,15,7,8,0,0.466667,1.000000,0.636364
MVI_40711,5,29,57,29,28,0,0.508772,1.000000,0.674419
MVI_40771,5,22,42,22,20,0,0.523810,1.000000,0.687500
MVI_39401,5,38,67,38,29,0,0.567164,1.000000,0.723810
