               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.3686,               4.506,              1.5092,              0.7329,             0.22222,             0.26647,             0.23496,                   0,                   0,                   0,              0.0901,              0.0011,              0.0011
                   1,              1.5865,              3.9848,              1.5648,             0.96033,             0.22222,             0.26256,             0.23194,                   0,                   0,                   0,            0.079224,           0.0022241,           0.0022241
                   2,              1.5388,               3.692,              1.5208,             0.50202,             0.22222,             0.23479,             0.21372,                   0,                   0,                   0,            0.068269,            0.003269,            0.003269
                   3,              1.2795,              3.5652,              1.3976,             0.37254,             0.27778,             0.24929,             0.21082,                   0,                   0,                   0,            0.057235,           0.0042347,           0.0042347
                   4,              1.3928,              3.6619,              1.4305,             0.42189,             0.16667,             0.18579,             0.13259,                   0,                   0,                   0,            0.046121,           0.0051212,           0.0051212
                   5,              1.5717,              3.5063,              1.5445,             0.42189,             0.16667,             0.18579,             0.13259,                   0,                   0,                   0,            0.034929,           0.0059285,           0.0059285
                   6,              1.4113,              3.3935,              1.6444,             0.29873,             0.16667,             0.15987,             0.10322,                   0,                   0,                   0,            0.023657,           0.0066566,           0.0066566
                   7,              1.7596,              3.5307,               1.725,             0.29873,             0.16667,             0.15987,             0.10322,                   0,                   0,                   0,            0.012306,           0.0073055,           0.0073055
                   8,              1.5727,              3.3978,              1.6054,             0.29873,             0.16667,             0.15987,             0.10322,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                   9,              1.5863,              3.3572,              1.6529,             0.71108,             0.16667,             0.27285,             0.19015,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  10,              1.3695,               3.388,              1.4046,             0.71108,             0.16667,             0.27285,             0.19015,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  11,              1.5155,              3.3045,              1.6114,             0.44398,             0.22185,             0.31564,             0.19866,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  12,              1.6805,              3.1298,              1.8179,             0.44398,             0.22185,             0.31564,             0.19866,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  13,              1.4698,              2.9601,              1.5456,             0.44398,             0.22185,             0.31564,             0.19866,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  14,              1.2482,              2.9605,              1.4475,             0.44331,             0.27778,             0.28165,             0.18543,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  15,                1.48,              3.0821,              1.7211,             0.44331,             0.27778,             0.28165,             0.18543,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  16,              1.5165,              3.1471,              1.6161,             0.44331,             0.27778,             0.28165,             0.18543,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  17,              1.8161,              3.0521,              1.6808,             0.92567,             0.22222,             0.43378,             0.29971,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  18,              1.4445,               2.953,              1.7847,             0.92567,             0.22222,             0.43378,             0.29971,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  19,              1.3404,              2.9087,              1.6006,             0.75426,             0.22222,             0.44153,             0.29397,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  20,              1.8618,              3.0697,              1.7558,             0.75426,             0.22222,             0.44153,             0.29397,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  21,              1.7356,              3.1664,              1.8001,             0.75426,             0.22222,             0.44153,             0.29397,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  22,              1.4312,              2.8728,              1.5562,             0.42332,             0.44444,             0.44874,             0.30333,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  23,              1.4854,              2.7092,              1.5078,             0.42332,             0.44444,             0.44874,             0.30333,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  24,              1.4308,              2.6852,              1.4954,             0.42332,             0.44444,             0.44874,             0.30333,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  25,              1.4214,              2.8546,              1.5988,             0.35024,             0.44444,               0.442,             0.28348,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  26,              1.4007,              2.7233,              1.5792,             0.35024,             0.44444,               0.442,             0.28348,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  27,              1.3985,              2.8998,              1.5992,             0.31687,             0.44444,             0.43389,             0.28409,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  28,              1.5867,              2.8768,              1.6777,             0.31687,             0.44444,             0.43389,             0.28409,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  29,               1.418,              2.7045,              1.5918,             0.31687,             0.44444,             0.43389,             0.28409,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
