               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8348,              2.9056,              1.3935,             0.46497,             0.48344,             0.51094,             0.21157,                   0,                   0,                   0,            0.070115,           0.0033206,           0.0033206
                   1,              1.7452,              1.5739,              1.3199,             0.69305,             0.75333,             0.72027,             0.29153,                   0,                   0,                   0,            0.039895,           0.0064344,           0.0064344
                   2,               1.811,              1.5571,              1.3246,             0.69007,             0.61889,             0.73992,             0.37487,                   0,                   0,                   0,           0.0094553,           0.0093281,           0.0093281
                   3,              1.7526,              1.3703,              1.3187,             0.88667,             0.87004,             0.89468,             0.41798,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   4,              1.7769,              1.3689,              1.3098,              0.7449,             0.77778,             0.80472,             0.44952,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   5,              1.7847,              1.3567,              1.3396,             0.76957,             0.83333,             0.80763,             0.34614,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                   6,              1.8051,              1.4147,              1.3382,             0.59883,             0.74695,             0.66238,             0.30789,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                   7,               1.708,              1.2503,              1.2788,             0.76272,             0.77778,             0.79239,             0.41032,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   8,              1.7577,              1.2837,              1.2946,             0.92179,              0.6555,             0.79811,             0.42199,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                   9,              1.7082,              1.2763,              1.2838,             0.73395,             0.76677,             0.80821,             0.42796,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  10,              1.6385,              1.1685,              1.2613,             0.87074,             0.74936,             0.86239,              0.4441,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  11,              1.5828,              1.1717,              1.2762,             0.81023,             0.83333,             0.80021,               0.446,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  12,              1.6456,              1.1794,              1.2602,             0.86508,             0.88889,             0.92296,             0.51899,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  13,              1.6454,              1.1672,              1.2424,             0.82051,             0.76256,             0.82316,             0.45634,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  14,              1.6766,              1.1843,              1.2542,             0.78468,             0.81058,             0.83442,             0.43676,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  15,              1.5935,              1.1099,              1.2511,             0.76929,             0.77778,             0.79634,             0.39852,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  16,              1.6223,              1.1147,              1.2488,             0.78822,             0.83333,             0.84826,             0.46616,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  17,              1.5782,              1.0659,              1.2346,             0.73005,             0.60153,             0.70321,              0.3851,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  18,              1.5637,              1.0561,              1.2202,             0.76691,             0.77778,             0.83691,             0.43966,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  19,              1.5425,               1.096,              1.2361,             0.74838,             0.66128,             0.80308,             0.43377,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  20,              1.5408,              1.0369,              1.2259,             0.78884,             0.88889,             0.81996,             0.41965,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  21,              1.5475,              1.0271,              1.2189,             0.80729,             0.93144,             0.87067,             0.45337,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  22,              1.5077,              1.0918,              1.2044,             0.84103,             0.88209,             0.83731,             0.46101,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  23,              1.5889,              1.0634,              1.2245,              0.8251,             0.88889,             0.91069,             0.49549,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  24,              1.4865,              0.9944,              1.2327,             0.83546,             0.94444,              0.8967,             0.48544,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  25,              1.4662,              0.9702,                1.22,             0.83877,             0.94444,             0.89913,             0.48832,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  26,              1.5323,             0.99086,              1.2377,              0.8105,             0.94444,             0.91617,             0.51307,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  27,              1.5219,              1.0092,              1.2189,             0.80824,             0.93697,             0.90028,             0.49448,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  28,              1.4971,              1.0049,              1.2293,             0.76199,             0.94444,             0.90732,             0.51411,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  29,              1.4821,             0.97826,              1.2125,             0.88397,             0.94444,              0.9332,             0.49541,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
